,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
2031,Allen County,2,"2,437","2,655",12.9
2032,Ashland County,3,"1,159","1,252",12.6
2033,Ashtabula County,3,"2,632","3,051",18.7
2034,Athens County,3,"1,569","1,421",26.6
2035,Auglaize County,5,912,"1,092",7.3
2036,Belmont County,2,"2,044","1,760",11.6
2037,Brown County,1,"1,139","1,248",12.1
2038,Butler County,1,"6,673","7,135",11.7
2039,Carroll County,2,666,704,11.3
2040,Champaign County,3,791,953,7.7
2041,Clark County,2,"3,370","3,787",14.6
2042,Clermont County,1,"3,743","4,005",8.2
2043,Clinton County,3,838,829,14.8
2044,Columbiana County,3,"2,815","2,964",13.2
2045,Coshocton County,3,848,977,12.5
2046,Crawford County,3,"1,089","1,383",14.7
2047,Cuyahoga County,1,"20,418","24,900",16.2
2048,Darke County,5,"1,194","1,237",12.1
2049,Defiance County,5,850,"1,027",8.8
2050,Delaware County,1,"1,807","1,950",4.8
2051,Erie County,3,"1,928","2,058",11.6
2052,Fairfield County,1,"2,313","2,397",8.1
2053,Fayette County,3,629,648,13.6
2054,Franklin County,1,"19,847","20,839",13.5
2055,Fulton County,2,980,"1,043",6.9
2056,Gallia County,5,993,856,16.5
2057,Geauga County,1,"1,120","1,370",5.5
2058,Greene County,2,"3,048","3,041",9.9
2059,Guernsey County,5,"1,274","1,073",15.5
2060,Hamilton County,1,"16,965","17,361",14.6
2061,Hancock County,5,"1,394","1,476",9.3
2062,Hardin County,6,698,761,13.9
2063,Harrison County,6,401,367,14.5
2064,Henry County,6,705,749,7.5
2065,Highland County,4,922,"1,004",15.6
2066,Hocking County,1,884,761,15.0
2067,Holmes County,9,547,545,9.2
2068,Huron County,3,"1,799","1,884",10.0
2069,Jackson County,8,912,989,17.2
2070,Jefferson County,2,"1,968","1,919",17.1
2071,Knox County,3,"1,221","1,188",11.3
2072,Lake County,1,"3,199","4,274",8.3
2073,Lawrence County,2,"2,078","1,692",16.2
2074,Licking County,1,"3,051","3,129",9.3
2075,Logan County,3,935,934,10.5
2076,Lorain County,1,"4,449","5,959",13.9
2077,Lucas County,2,"11,064","11,573",18.0
2078,Madison County,1,706,730,9.6
2079,Mahoning County,2,"6,612","6,972",18.4
2080,Marion County,3,"1,427","1,507",14.8
2081,Medina County,1,"2,010","2,613",5.5
2082,Meigs County,6,766,691,15.8
2083,Mercer County,8,944,"1,007",6.7
2084,Miami County,2,"2,041","2,382",8.8
2085,Monroe County,7,485,390,14.0
2086,Montgomery County,2,"12,027","13,112",15.3
2087,Morgan County,4,474,569,15.7
2088,Morrow County,1,667,869,8.5
2089,Muskingum County,3,"2,359","2,480",15.3
2090,Noble County,10,389,333,14.2
2091,Ottawa County,5,"1,169","1,234",8.1
2092,Paulding County,6,431,501,9.8
2093,Perry County,1,919,950,15.0
2094,Pickaway County,1,"1,032","1,081",11.5
2095,Pike County,9,849,883,19.1
2096,Portage County,2,"3,554","3,698",11.9
2097,Preble County,4,906,991,8.9
2098,Putnam County,6,647,736,7.2
2099,Richland County,2,"3,448","3,360",13.5
2100,Ross County,3,"1,824","1,845",15.2
2101,Sandusky County,5,"1,473","1,556",9.6
2102,Scioto County,5,"2,511","2,268",21.9
2103,Seneca County,5,"1,429","1,584",12.1
2104,Shelby County,5,"1,062","1,095",9.1
2105,Stark County,2,"8,617","8,587",13.0
2106,Summit County,2,"12,541","13,154",14.2
2107,Trumbull County,2,"5,803","6,768",15.4
2108,Tuscarawas County,5,"2,090","2,170",11.2
2109,Union County,1,722,728,5.4
2110,Van Wert County,5,710,845,8.5
2111,Vinton County,4,403,424,18.7
2112,Warren County,1,"2,985","3,251",4.5
2113,Washington County,5,"1,844","1,525",11.0
2114,Wayne County,3,"2,116","2,369",9.9
2115,Williams County,6,808,"1,091",9.3
2116,Wood County,2,"2,502","2,670",11.2
2117,Wyandot County,9,527,554,7.5
2118,Adair County,6,319,375,23.6
2119,Alfalfa County,10,76,75,15.8
2120,Atoka County,9,181,231,19.2
2121,Beaver County,10,68,78,10.6
2122,Beckham County,8,266,277,20.8
2123,Blaine County,4,131,201,14.9
2124,Bryan County,5,481,586,17.3
2125,Caddo County,4,444,546,20.6
2126,Canadian County,1,"1,071","1,457",8.1
2127,Carter County,8,765,817,14.3
2128,Cherokee County,5,583,649,21.4
2129,Choctaw County,9,282,328,22.5
2130,Cimarron County,10,35,43,17.8
2131,Cleveland County,1,"2,492","3,532",11.7
2132,Coal County,10,104,133,18.1
2133,Comanche County,2,"1,526","1,633",17.6
2134,Cotton County,2,89,98,18.6
2135,Craig County,6,241,262,18.2
2136,Creek County,2,"1,001","1,151",13.7
2137,Custer County,8,319,402,15.8
2138,Delaware County,6,564,644,17.5
2139,Dewey County,10,60,65,11.6
2140,Ellis County,10,54,56,13.0
2141,Garfield County,8,766,834,12.7
2142,Garvin County,4,419,474,15.6
2143,Grady County,1,625,718,12.1
2144,Grant County,10,62,69,11.2
2145,Greer County,9,88,98,24.1
2146,Harmon County,10,39,48,23.7
2147,Harper County,10,40,55,11.1
2148,Haskell County,6,218,230,20.2
2149,Hughes County,9,280,287,21.4
2150,Jackson County,8,348,383,17.3
2151,Jefferson County,7,99,110,20.8
2152,Johnston County,9,159,218,21.0
2153,Kay County,8,919,932,16.1
2154,Kingfisher County,4,154,176,8.9
2155,Kiowa County,6,125,148,21.9
2156,Latimer County,9,203,225,18.5
2157,Le Flore County,2,860,"1,080",20.5
2158,Lincoln County,1,425,572,13.9
2159,Logan County,1,416,491,12.4
2160,Love County,9,146,167,13.4
2161,McClain County,1,344,502,7.1
2162,McCurtain County,11,689,819,21.9
2163,McIntosh County,6,352,402,19.7
2164,Major County,9,91,105,13.4
2165,Marshall County,6,206,233,18.2
2166,Mayes County,6,582,740,17.7
2167,Murray County,9,205,242,14.9
2168,Muskogee County,5,"1,088","1,226",22.7
2169,Noble County,4,129,214,12.3
2170,Nowata County,6,162,205,15.0
2171,Okfuskee County,4,171,197,27.4
2172,Oklahoma County,1,"9,147","12,701",14.9
2173,Okmulgee County,2,741,798,18.7
2174,Osage County,2,642,708,14.9
2175,Ottawa County,5,692,867,18.5
2176,Pawnee County,2,285,312,15.2
2177,Payne County,3,871,980,23.0
2178,Pittsburg County,8,767,774,19.7
2179,Pontotoc County,8,533,648,13.9
2180,Pottawatomie County,3,938,"1,309",14.8
2181,Pushmataha County,12,196,283,23.9
2182,Roger Mills County,10,43,42,13.4
2183,Rogers County,2,941,"1,113",10.4
2184,Seminole County,9,434,502,22.0
2185,Sequoyah County,2,723,846,21.6
2186,Stephens County,3,628,688,14.8
2187,Texas County,8,270,287,14.7
2188,Tillman County,6,119,150,20.4
2189,Tulsa County,2,"8,096","9,854",14.3
2190,Wagoner County,2,737,882,8.2
2191,Washington County,5,684,730,12.9
2192,Washita County,9,143,167,12.6
2193,Woods County,9,112,120,15.2
2194,Woodward County,8,267,277,12.2
2195,Baker County,11,523,615,13.6
2196,Benton County,2,"1,617","1,842",16.5
2197,Clackamas County,1,"7,723","9,774",7.2
2198,Clatsop County,3,908,"1,025",12.0
2199,Columbia County,1,"1,255","1,735",8.6
2200,Coos County,8,"2,043","2,222",15.6
2201,Crook County,5,641,731,10.9
2202,Curry County,8,625,622,13.4
2203,Deschutes County,2,"3,355","4,050",9.2
2204,Douglas County,5,"3,435","3,845",11.8
2205,Gilliam County,12,50,60,10.9
2206,Grant County,12,368,344,15.3
2207,Harney County,11,330,452,14.2
2208,Hood River County,3,765,883,8.4
2209,Jackson County,2,"5,150","5,985",13.6
2210,Jefferson County,6,473,583,15.0
2211,Josephine County,2,"2,225","2,623",15.9
2212,Klamath County,8,"2,221","2,535",16.7
2213,Lake County,12,284,317,17.0
2214,Lane County,2,"9,266","11,446",13.9
2215,Lincoln County,8,"1,380","1,503",14.6
2216,Linn County,2,"3,428","3,952",12.6
2217,Malheur County,5,"1,005","1,074",21.0
2218,Marion County,2,"8,085","9,193",12.2
2219,Morrow County,5,426,420,12.7
2220,Multnomah County,1,"18,000","23,530",12.0
2221,Polk County,2,"1,612","1,886",9.4
2222,Sherman County,10,56,91,12.5
2223,Tillamook County,4,609,716,12.0
2224,Umatilla County,5,"2,223","2,536",13.9
2225,Union County,8,672,760,13.6
2226,Wallowa County,10,266,323,12.3
2227,Wasco County,3,781,"1,094",12.2
2228,Washington County,1,"10,164","14,235",8.2
2229,Wheeler County,10,53,57,17.7
2230,Yamhill County,1,"2,199","2,658",10.6
2231,Adams County,2,"1,594","1,973",7.6
2232,Allegheny County,1,"26,214","28,303",10.8
2233,Armstrong County,1,"1,916","2,198",11.1
2234,Beaver County,1,"3,874","4,548",11.7
2235,Bedford County,6,"1,377","1,715",10.4
2236,Berks County,2,"7,757","9,353",10.2
2237,Blair County,2,"2,955","3,594",14.9
2238,Bradford County,5,"1,110","1,577",14.3
2239,Bucks County,1,"11,392","13,379",5.7
2240,Butler County,1,"3,709","4,238",7.8
2241,Cambria County,2,"4,139","4,419",14.9
2242,Cameron County,10,187,225,14.0
2243,Carbon County,2,"1,514","1,696",9.8
2244,Centre County,2,"2,398","2,676",15.9
2245,Chester County,1,"7,287","8,224",5.9
2246,Clarion County,4,997,975,14.1
2247,Clearfield County,5,"2,245","2,783",13.7
2248,Clinton County,5,955,"1,173",13.4
2249,Columbia County,2,"1,699","1,860",14.7
2250,Crawford County,5,"2,126","2,718",12.6
2251,Cumberland County,2,"3,636","4,421",7.2
2252,Dauphin County,2,"4,677","5,661",11.3
2253,Delaware County,1,"10,564","11,744",9.9
2254,Elk County,9,899,"1,294",9.8
2255,Erie County,2,"6,424","7,700",16.6
2256,Fayette County,1,"3,722","4,073",17.5
2257,Forest County,9,144,283,26.0
2258,Franklin County,2,"2,564","3,109",8.1
2259,Fulton County,7,283,447,12.2
2260,Greene County,4,997,973,14.2
2261,Huntingdon County,5,"1,278","1,661",13.0
2262,Indiana County,3,"2,410","2,280",14.0
2263,Jefferson County,9,"1,155","1,393",16.4
2264,Juniata County,7,488,547,10.4
2265,Lackawanna County,2,"4,740","5,803",14.2
2266,Lancaster County,2,"7,162","8,738",10.5
2267,Lawrence County,3,"2,231","2,482",12.3
2268,Lebanon County,2,"2,060","2,377",10.4
2269,Lehigh County,2,"6,023","7,320",11.5
2270,Luzerne County,2,"8,122","8,780",15.2
2271,Lycoming County,2,"2,599","3,242",13.6
2272,McKean County,8,"1,061","1,225",14.6
2273,Mercer County,2,"2,861","2,972",13.1
2274,Mifflin County,5,965,"1,377",13.3
2275,Monroe County,2,"2,941","3,387",12.2
2276,Montgomery County,1,"13,065","15,549",6.0
2277,Montour County,2,304,366,9.1
2278,Northampton County,2,"5,284","6,127",7.9
2279,Northumberland County,5,"2,088","2,459",13.3
2280,Perry County,2,879,"1,051",8.9
2281,Pike County,1,815,"1,068",9.2
2282,Potter County,9,388,443,11.7
2283,Schuylkill County,5,"4,162","4,567",11.7
2284,Snyder County,8,697,803,10.3
2285,Somerset County,3,"2,033","2,240",12.5
2286,Sullivan County,7,146,166,12.9
2287,Susquehanna County,7,810,"1,198",11.3
2288,Tioga County,6,898,"1,287",13.4
2289,Union County,5,679,813,12.0
2290,Venango County,3,"1,383","1,395",12.5
2291,Warren County,5,841,"1,048",13.5
2292,Washington County,1,"4,600","5,160",9.9
2293,Wayne County,4,"1,041","1,132",12.4
2294,Westmoreland County,1,"8,572","9,480",10.5
2295,Wyoming County,2,673,728,9.9
2296,York County,2,"7,033","9,074",9.2
2297,Bristol County,1,946,966,6.8
2298,Kent County,1,"3,501","3,768",8.1
2299,Newport County,1,"1,618","1,673",8.5
2300,Providence County,1,"13,400","15,317",14.0
2301,Washington County,1,"2,238","2,406",8.0
2302,Abbeville County,5,470,820,14.8
2303,Aiken County,2,"2,667","3,447",12.5
2304,Allendale County,6,194,224,30.2
2305,Anderson County,2,"2,626","4,498",12.9
2306,Bamberg County,9,335,427,24.2
2307,Barnwell County,6,516,702,24.9
2308,Beaufort County,2,"1,622","2,005",10.2
2309,Berkeley County,2,"2,161","2,871",10.7
2310,Calhoun County,2,270,422,18.2
2311,Charleston County,2,"5,045","6,284",11.7
2312,Cherokee County,5,"1,085","1,803",16.0
2313,Chester County,1,843,"1,263",17.7
2314,Chesterfield County,4,900,"1,425",19.9
2315,Clarendon County,6,712,969,25.1
2316,Colleton County,6,613,803,21.0
2317,Darlington County,2,"1,551","1,965",19.6
2318,Dillon County,6,935,"1,206",26.8
2319,Dorchester County,2,"1,448","1,953",9.3
2320,Edgefield County,2,382,496,15.7
2321,Fairfield County,2,555,950,19.1
2322,Florence County,2,"2,504","3,295",17.0
2323,Georgetown County,5,"1,418","1,956",17.5
2324,Greenville County,2,"5,448","7,692",10.7
2325,Greenwood County,5,"1,411","2,260",18.0
2326,Hampton County,6,363,506,23.2
2327,Horry County,2,"3,855","5,145",12.7
2328,Jasper County,2,333,399,17.2
2329,Kershaw County,2,"1,025","1,405",13.8
2330,Lancaster County,1,"1,117","1,654",11.8
2331,Laurens County,2,"1,127","2,245",19.1
2332,Lee County,6,474,583,25.4
2333,Lexington County,2,"3,228","4,225",11.9
2334,McCormick County,6,240,361,18.1
2335,Marion County,6,"1,463","1,807",24.9
2336,Marlboro County,5,842,"1,188",28.9
2337,Newberry County,5,737,"1,084",14.0
2338,Oconee County,5,"1,149","1,765",13.1
2339,Orangeburg County,5,"2,389","3,463",26.3
2340,Pickens County,2,"1,772","2,901",15.3
2341,Richland County,2,"5,346","6,714",16.2
2342,Saluda County,2,346,488,16.1
2343,Spartanburg County,2,"4,689","6,995",12.9
2344,Sumter County,2,"1,934","2,880",17.8
2345,Union County,2,735,"1,268",19.9
2346,Williamsburg County,6,"1,162","1,551",27.8
2347,York County,1,"2,887","4,350",8.6
2348,Aurora County,10,36,41,10.2
2349,Beadle County,8,229,302,12.9
2350,Bennett County,12,49,53,31.6
2351,Bon Homme County,10,89,112,14.1
2352,Brookings County,8,367,453,11.9
2353,Brown County,8,478,607,9.4
2354,Brule County,12,68,71,12.6
2355,Buffalo County,12,49,45,39.8
2356,Butte County,6,133,152,12.9
2357,Campbell County,12,51,41,10.5
2358,Charles Mix County,12,114,129,21.2
2359,Clark County,10,80,100,12.1
2360,Clay County,5,158,191,19.0
2361,Codington County,8,388,530,9.7
2362,Corson County,12,79,81,40.3
2363,Custer County,2,125,141,9.6
2364,Davison County,8,238,264,11.7
2365,Day County,10,126,155,13.2
2366,Deuel County,10,80,99,8.7
2367,Dewey County,12,209,218,27.6
2368,Douglas County,10,39,43,11.2
2369,Edmunds County,8,50,59,10.7
2370,Fall River County,6,135,139,13.9
2371,Faulk County,10,32,34,15.7
2372,Grant County,9,130,153,9.1
2373,Gregory County,12,74,82,15.5
2374,Haakon County,7,23,27,11.4
2375,Hamlin County,10,72,96,8.9
2376,Hand County,10,42,50,10.3
2377,Hanson County,5,34,44,7.9
2378,Harding County,12,20,20,11.9
2379,Hughes County,8,193,221,8.9
2380,Hutchinson County,7,105,121,10.5
2381,Hyde County,10,22,22,11.5
2382,Jackson County,7,50,54,29.9
2383,Jerauld County,10,30,37,16.3
2384,Jones County,10,16,14,12.9
2385,Kingsbury County,10,79,94,8.5
2386,Lake County,6,162,189,9.5
2387,Lawrence County,5,330,362,12.4
2388,Lincoln County,2,251,324,3.8
2389,Lyman County,10,79,82,21.1
2390,McCook County,2,66,89,9.2
2391,McPherson County,10,38,43,19.5
2392,Marshall County,10,83,110,11.8
2393,Meade County,2,295,344,8.7
2394,Mellette County,12,33,37,33.3
2395,Miner County,7,40,59,10.5
2396,Minnehaha County,2,"1,772","2,161",8.7
2397,Moody County,7,141,164,8.7
2398,Oglala Lakota County,6,249,279,40.1
2399,Pennington County,2,"1,138","1,416",12.0
2400,Perkins County,7,46,50,14.5
2401,Potter County,10,41,48,10.4
2402,Roberts County,10,180,210,19.6
2403,Sanborn County,10,36,44,12.6
2404,Spink County,10,110,116,11.5
2405,Stanley County,8,35,44,7.7
2406,Sully County,8,21,22,8.2
2407,Todd County,12,136,166,43.4
2408,Tripp County,11,90,96,18.8
2409,Turner County,2,108,130,10.1
2410,Union County,2,182,224,6.3
2411,Walworth County,11,99,102,15.1
2412,Yankton County,8,260,357,10.1
2413,Ziebach County,7,59,63,47.7
2414,Anderson County,2,"1,384","1,565",15.3
2415,Bedford County,3,883,998,13.9
2416,Benton County,9,534,498,17.6
2417,Bledsoe County,7,203,236,27.3
2418,Blount County,2,"1,880","2,298",10.5
2419,Bradley County,2,"1,587","1,805",14.5
2420,Campbell County,2,955,986,21.9
2421,Cannon County,1,222,253,13.0
2422,Carroll County,6,"1,097","1,001",16.8
2423,Carter County,2,"1,304","1,335",19.3
2424,Cheatham County,1,532,641,9.6
2425,Chester County,2,306,334,14.8
2426,Claiborne County,6,619,659,19.7
2427,Clay County,10,238,242,20.1
2428,Cocke County,5,983,"1,144",22.8
2429,Coffee County,3,923,"1,049",14.4
2430,Crockett County,2,316,371,15.8
2431,Cumberland County,5,994,"1,321",13.3
2432,Davidson County,1,"9,592","10,695",12.6
2433,Decatur County,12,299,380,16.0
2434,DeKalb County,4,398,442,18.0
2435,Dickson County,1,781,953,10.1
2436,Dyer County,8,912,"1,125",17.3
2437,Fayette County,1,620,766,11.2
2438,Fentress County,10,501,575,20.9
2439,Franklin County,5,717,776,13.9
2440,Gibson County,6,"1,219","1,699",14.3
2441,Giles County,4,639,894,13.4
2442,Grainger County,2,431,558,17.1
2443,Greene County,5,"1,814","2,274",15.9
2444,Grundy County,7,276,308,21.4
2445,Hamblen County,2,"1,161","1,731",14.4
2446,Hamilton County,2,"5,178","5,595",12.7
2447,Hancock County,7,133,177,26.4
2448,Hardeman County,4,557,757,19.2
2449,Hardin County,6,613,708,17.5
2450,Hawkins County,2,"1,014","1,282",18.1
2451,Haywood County,4,511,664,20.7
2452,Henderson County,6,627,839,15.8
2453,Henry County,8,710,868,18.3
2454,Hickman County,1,394,489,16.3
2455,Houston County,4,212,252,17.8
2456,Humphreys County,4,437,548,13.1
2457,Jackson County,3,314,285,17.1
2458,Jefferson County,2,947,"1,164",12.5
2459,Johnson County,6,455,517,25.2
2460,Knox County,2,"6,116","6,618",13.4
2461,Lake County,9,156,165,35.5
2462,Lauderdale County,4,567,848,19.3
2463,Lawrence County,3,"1,742","1,695",16.7
2464,Lewis County,4,284,343,15.2
2465,Lincoln County,6,553,676,12.8
2466,Loudon County,2,681,825,9.7
2467,McMinn County,5,"1,045","1,554",14.5
2468,McNairy County,6,511,685,17.0
2469,Macon County,1,375,578,15.5
2470,Madison County,2,"1,695","2,255",17.6
2471,Marion County,2,576,664,15.3
2472,Marshall County,3,491,706,13.1
2473,Maury County,1,"1,285","1,478",8.5
2474,Meigs County,7,248,312,16.1
2475,Monroe County,6,922,"1,215",16.5
2476,Montgomery County,2,"2,202","2,579",12.0
2477,Moore County,8,89,108,10.0
2478,Morgan County,2,403,463,22.0
2479,Obion County,8,688,742,14.6
2480,Overton County,8,508,580,17.1
2481,Perry County,4,179,231,14.4
2482,Pickett County,10,114,186,17.8
2483,Polk County,2,330,351,15.3
2484,Putnam County,3,"1,374","1,444",16.1
2485,Rhea County,5,615,700,15.4
2486,Roane County,2,"1,041","1,137",14.6
2487,Robertson County,1,"1,031","1,249",10.5
2488,Rutherford County,1,"3,088","3,797",10.0
2489,Scott County,6,444,583,22.0
2490,Sequatchie County,2,202,253,17.4
2491,Sevier County,5,"1,927","2,140",12.9
2492,Shelby County,1,"16,707","18,771",17.2
2493,Smith County,1,379,425,15.3
2494,Stewart County,7,263,295,12.9
2495,Sullivan County,2,"2,659","3,031",15.1
2496,Sumner County,1,"2,238","3,157",8.6
2497,Tipton County,1,916,"1,165",10.5
2498,Trousdale County,1,119,196,15.8
2499,Unicoi County,2,559,479,15.8
2500,Union County,2,306,350,18.3
2501,Van Buren County,10,121,160,15.5
2502,Warren County,3,786,"1,210",15.9
2503,Washington County,2,"2,155","2,580",15.8
2504,Wayne County,6,544,606,17.3
2505,Weakley County,8,822,980,17.7
2506,White County,9,495,609,16.0
2507,Williamson County,1,"1,719","1,971",4.3
2508,Wilson County,1,"1,549","1,841",7.4
2509,Anderson County,8,"1,210","1,188",19.8
2510,Andrews County,5,281,241,10.2
2511,Angelina County,8,"1,848","2,101",15.6
2512,Aransas County,2,585,636,18.7
2513,Archer County,2,158,162,10.3
2514,Armstrong County,2,35,36,10.6
2515,Atascosa County,1,720,818,14.7
2516,Austin County,1,479,482,11.1
2517,Bailey County,9,149,157,15.9
2518,Bandera County,1,322,358,12.9
2519,Bastrop County,1,"1,028","1,411",14.0
2520,Baylor County,6,87,90,15.9
2521,Bee County,5,676,685,24.0
2522,Bell County,2,"4,306","4,997",13.8
2523,Bexar County,1,"27,180","31,048",15.2
2524,Blanco County,4,144,164,8.6
2525,Borden County,7,27,14,10.6
2526,Bosque County,4,341,400,13.7
2527,Bowie County,2,"2,021","2,065",16.8
2528,Brazoria County,1,"6,007","6,131",8.6
2529,Brazos County,2,"2,948","3,030",20.0
2530,Brewster County,11,180,191,13.1
2531,Briscoe County,12,33,35,15.0
2532,Brooks County,9,199,185,29.6
2533,Brown County,8,801,843,13.7
2534,Burleson County,2,313,311,13.8
2535,Burnet County,4,616,757,10.5
2536,Caldwell County,1,626,760,14.4
2537,Calhoun County,5,443,654,14.7
2538,Callahan County,2,243,269,12.1
2539,Cameron County,2,"9,005","10,248",25.5
2540,Camp County,6,274,288,16.6
2541,Carson County,2,111,117,8.5
2542,Cass County,6,807,872,17.3
2543,Castro County,6,148,158,15.3
2544,Chambers County,1,564,596,8.6
2545,Cherokee County,5,982,"1,048",16.5
2546,Childress County,11,142,151,21.9
2547,Clay County,2,216,208,11.5
2548,Cochran County,10,95,89,19.5
2549,Coke County,7,72,73,13.1
2550,Coleman County,6,205,207,17.7
2551,Collin County,1,"8,597","13,216",6.1
2552,Collingsworth County,10,58,61,19.8
2553,Colorado County,4,380,422,13.6
2554,Comal County,1,"1,443","1,804",6.7
2555,Comanche County,9,266,276,13.5
2556,Concho County,6,82,75,15.1
2557,Cooke County,3,692,907,12.7
2558,Coryell County,2,"1,295","1,433",11.8
2559,Cottle County,12,42,46,18.9
2560,Crane County,6,88,73,9.6
2561,Crockett County,11,78,71,13.8
2562,Crosby County,2,138,148,22.1
2563,Culberson County,12,86,73,19.7
2564,Dallam County,11,111,102,11.4
2565,Dallas County,1,"46,444","63,163",14.0
2566,Dawson County,8,313,318,20.6
2567,Deaf Smith County,5,403,376,17.0
2568,Delta County,4,132,135,16.0
2569,Denton County,1,"7,625","9,749",6.5
2570,DeWitt County,6,392,417,17.1
2571,Dickens County,7,60,54,19.4
2572,Dimmit County,6,340,300,25.3
2573,Donley County,7,78,82,16.4
2574,Duval County,9,357,335,23.9
2575,Eastland County,6,417,426,16.7
2576,Ector County,2,"3,084","2,823",12.1
2577,Edwards County,12,42,47,20.7
2578,Ellis County,1,"2,174","2,660",8.7
2579,El Paso County,2,"18,831","20,003",18.8
2580,Erath County,3,612,650,15.2
2581,Falls County,2,395,400,21.6
2582,Fannin County,4,683,905,13.2
2583,Fayette County,4,398,424,10.9
2584,Fisher County,7,85,86,13.3
2585,Floyd County,6,170,194,17.3
2586,Foard County,10,30,30,17.0
2587,Fort Bend County,1,"6,701","7,549",6.6
2588,Franklin County,9,190,193,14.4
2589,Freestone County,9,408,393,15.5
2590,Frio County,4,381,406,27.7
2591,Gaines County,9,273,285,13.2
2592,Galveston County,1,"6,314","6,745",11.3
2593,Garza County,6,94,87,24.2
2594,Gillespie County,8,414,375,8.5
2595,Glasscock County,5,22,22,7.9
2596,Goliad County,2,129,139,13.4
2597,Gonzales County,4,321,338,16.2
2598,Gray County,5,508,447,14.5
2599,Grayson County,2,"2,307","2,963",11.6
2600,Gregg County,2,"3,038","3,058",16.5
2601,Grimes County,4,543,551,15.9
2602,Guadalupe County,1,"1,570","1,789",7.4
2603,Hale County,5,773,796,17.9
2604,Hall County,12,92,94,25.4
2605,Hamilton County,6,155,159,14.3
2606,Hansford County,9,85,84,11.7
2607,Hardeman County,9,91,93,19.2
2608,Hardin County,2,"1,311","1,443",12.1
2609,Harris County,1,"75,148","82,107",15.0
2610,Harrison County,5,"1,479","1,590",17.8
2611,Hartley County,11,78,79,8.6
2612,Haskell County,6,125,123,20.7
2613,Hays County,1,"1,852","2,272",11.2
2614,Hemphill County,11,54,53,9.1
2615,Henderson County,3,"1,400","1,533",17.5
2616,Hidalgo County,2,"19,592","21,048",26.9
2617,Hill County,4,705,866,13.1
2618,Hockley County,5,450,443,15.5
2619,Hood County,1,816,948,9.2
2620,Hopkins County,3,669,732,14.7
2621,Houston County,9,474,504,20.9
2622,Howard County,5,703,698,17.0
2623,Hudspeth County,2,60,70,28.0
2624,Hunt County,1,"1,660","1,890",14.8
2625,Hutchinson County,5,535,476,11.4
2626,Irion County,2,30,30,7.4
2627,Jack County,4,163,164,15.6
2628,Jackson County,6,256,306,13.8
2629,Jasper County,6,"1,119","1,330",19.5
2630,Jeff Davis County,12,45,45,12.7
2631,Jefferson County,2,"7,436","7,926",16.9
2632,Jim Hogg County,6,133,105,22.8
2633,Jim Wells County,5,"1,010",971,21.0
2634,Johnson County,1,"2,548","2,964",11.0
2635,Jones County,2,400,390,20.4
2636,Karnes County,4,291,300,21.0
2637,Kaufman County,1,"1,544","1,970",9.8
2638,Kendall County,1,411,476,7.4
2639,Kenedy County,8,7,7,14.2
2640,Kent County,10,17,14,11.5
2641,Kerr County,3,743,833,12.5
2642,Kimble County,9,80,75,17.0
2643,King County,12,7,7,11.0
2644,Kinney County,10,92,86,18.9
2645,Kleberg County,5,710,707,23.3
2646,Knox County,12,88,79,19.1
2647,Lamar County,8,"1,153","1,430",18.4
2648,Lamb County,6,348,387,18.5
2649,Lampasas County,2,335,385,12.4
2650,La Salle County,6,158,151,26.6
2651,Lavaca County,6,306,314,11.0
2652,Lee County,4,295,341,10.7
2653,Leon County,7,364,367,14.4
2654,Liberty County,1,"1,805","1,877",14.4
2655,Limestone County,6,460,466,19.2
2656,Lipscomb County,12,51,50,12.4
2657,Live Oak County,7,222,222,16.5
2658,Llano County,11,313,351,10.8
2659,Loving County,12,4,3,7.1
2660,Lubbock County,2,"4,614","4,808",17.9
2661,Lynn County,2,124,147,16.0
2662,McCulloch County,9,198,215,17.6
2663,McLennan County,2,"4,364","4,937",18.0
2664,McMullen County,12,16,17,10.5
2665,Madison County,6,240,256,17.8
2666,Marion County,7,301,303,21.4
2667,Martin County,2,86,89,12.1
2668,Mason County,10,60,61,11.7
2669,Matagorda County,3,"1,165","1,341",17.5
2670,Maverick County,8,"2,506","2,920",26.9
2671,Medina County,1,722,817,12.2
2672,Menard County,12,42,51,20.7
2673,Midland County,2,"2,468","2,251",9.9
2674,Milam County,4,444,529,16.3
2675,Mills County,10,89,88,13.2
2676,Mitchell County,9,193,198,19.5
2677,Montague County,4,446,419,12.9
2678,Montgomery County,1,"5,650","6,294",8.9
2679,Moore County,8,322,336,11.9
2680,Morris County,6,384,409,18.1
2681,Motley County,12,25,24,17.6
2682,Nacogdoches County,8,"1,285","1,393",20.9
2683,Navarro County,3,"1,068","1,151",13.4
2684,Newton County,2,491,589,22.8
2685,Nolan County,5,360,368,17.5
2686,Nueces County,2,"7,871","7,896",16.5
2687,Ochiltree County,11,150,151,11.4
2688,Oldham County,2,38,36,13.1
2689,Orange County,2,"2,852","3,218",12.5
2690,Palo Pinto County,3,562,622,17.2
2691,Panola County,6,594,587,14.3
2692,Parker County,1,"1,677","1,834",8.2
2693,Parmer County,9,155,168,11.8
2694,Pecos County,11,358,356,18.7
2695,Polk County,4,946,995,16.7
2696,Potter County,2,"2,879","2,861",20.3
2697,Presidio County,11,537,509,19.2
